x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
200.16482,-0.26286,-97.7101,-0.89489,229.96954,-120.53342,Q3,0.78091,-0.09718,9.52442,3.17744,True,951.96903
199.54172,0.40905,-100.63736,-0.88896,229.33501,-120.01444,Q4,-0.46364,-2.63335,12.3961,-1.47704,True,947.38992
201.00071,0.14955,-98.64403,-0.88369,230.76183,-120.01524,Q2,0.896,-1.21155,11.46621,4.65774,True,955.68154
199.79682,1.873945,-99.21798,-0.88805,229.58575,-118.51331,Q4,-1.34531,-0.37638,9.08931,0.93612,True,949.37509
199.12434,0.41191,-103.65685,-0.88177,228.92722,-118.46355,Q4,2.1509,1.89268,11.01687,-0.31611,True,943.79329
198.00918,-0.64766,-95.54385,-0.88063,227.79062,-118.85182,Q4,-0.50611,-1.66406,13.19145,-1.41955,True,942.27396
201.7335,0.46007,-102.07512,-0.89775,231.53335,-123.09254,Q2,-2.67648,-2.64812,13.78752,-2.00034,True,957.62992
198.54573,0.37327,-101.31436,-0.88147,228.32524,-121.208,Q4,-0.15081,1.70975,15.11139,-2.0989,True,942.07145
200.81225,-0.4723,-101.33503,-0.8756,230.59562,-120.38252,Q3,-0.01124,1.09467,10.83927,0.3917,True,953.39374
201.019,0.52745,-98.74339,-0.90041,230.82095,-119.17608,Q2,0.52077,0.33972,5.70262,2.83868,True,955.72328
199.97496,-0.772,-97.56233,-0.88398,229.76909,-121.48381,Q4,0.9284,-1.42364,11.35671,-1.97473,True,951.09366
202.45417,-0.40839,-98.1612,-0.88172,232.23823,-122.39729,Q1,0.78048,-1.27981,12.57337,-3.31058,True,963.19027
201.41167,0.47257,-104.28432,-0.88974,231.18389,-119.26329,Q2,0.33602,0.05126,9.17397,0.82785,True,954.91619
201.38359,0.31107,-101.45125,-0.88236,231.17175,-121.33822,Q2,1.399,0.75675,14.44379,4.37976,True,956.19231
201.18738,-0.28364,-97.98549,-0.88547,230.98133,-120.22749,Q2,0.05336,-0.57299,8.8513,2.58745,True,956.94417
200.59047,0.69166,-100.77261,-0.88357,230.37424,-121.77725,Q3,-1.00411,-0.03796,7.70179,-1.37012,True,952.56607
202.07543,0.95651,-99.56385,-0.87923,231.85718,-124.41866,Q1,0.81738,-1.40923,13.10069,6.62597,True,960.59522
199.13619,0.4933,-96.13714,-0.88583,228.93224,-119.67628,Q4,0.77539,-0.6264,11.39103,-0.62018,True,947.61236
199.77167,0.17175,-99.3836,-0.8985,229.57541,-122.29385,Q4,0.86616,0.0544,10.11354,-0.22195,True,949.16655
199.04821,-0.52409,-99.38906,-0.89255,228.85124,-121.72081,Q4,2.31627,0.08694,12.77928,0.83843,True,945.5465
201.13917,-0.82217,-99.13163,-0.9034,230.96004,-120.76866,Q2,-0.08407,0.76612,10.80032,-0.00316,True,956.13003
198.39428,-0.43386,-100.23758,-0.89058,228.18467,-119.01455,Q4,-0.57037,0.18996,6.43332,8.595101249999999,True,941.85263
201.83331,0.58297,-101.65872,-0.88433,231.62235,-121.57489,Q2,1.28903,1.35425,11.04669,0.30092,True,958.3372
200.31493,1.0352,-101.40776,-0.89219,230.09042,-121.69785,Q3,0.17935,-0.26349,10.04413,-3.38836,True,950.87078
200.31606,0.81746,-99.03628,-0.87297,230.0992,-121.05998,Q3,1.32674,-0.33777,11.27923,0.84596,True,952.06215
201.11138,1.42236,-104.6949,-0.88979,230.87786,-121.17592,Q2,-0.27175,0.14828,9.88552,-1.21392,True,953.20945
199.95237,0.40333,-101.53741,-0.89582,229.74667,-117.9569,Q4,0.92772,-0.19571,16.15318,-2.79233,True,948.99316
199.34873,0.15554,-96.61701,-0.89871,229.15044,-120.06454,Q4,0.26749,0.20652,7.49618,4.59945,True,948.43512
198.90734,0.12134,-96.33353,-0.8819,228.69104,-118.26666,Q4,-0.46187,0.26917,7.70805,1.21765,True,946.36994
199.79448,-0.48207,-102.97723,-0.88963,229.61415,-121.37807,Q4,-2.86477875,2.4293,14.68548,-1.67035,True,947.48379
199.27096,0.27398,-102.54961,-0.8939,229.09483,-120.58058,Q4,2.53042,0.29517,8.85851,0.13374,True,945.08001
200.74144,-1.74336,-100.77133,-0.89952,230.54211,-119.52934,Q3,0.02929,-0.02422,3.8433,2.6024,True,953.32154
199.79305,0.06694,-95.33629,-0.89225,229.5978,-121.03539,Q4,1.39193,-0.42462,10.01272,-2.87044,True,951.2971
200.26174,0.24396,-102.69292,-0.88616,230.05013,-121.3805,Q3,0.61908,1.35114,10.21911,-2.64372,True,949.96224
199.55436,-0.3088,-99.62364,-0.88316,229.34337,-122.57771,Q4,-1.37293,1.1708,14.29882,1.84339,True,947.95997
198.72402,-1.03202,-93.18314,-0.89402,228.51778,-119.22324,Q4,-0.66298,-0.46208,10.41213,5.46064,True,947.02852
199.40736,-0.78195,-99.42423,-0.90577,229.22634,-120.58917,Q4,0.05479,-0.78354,9.22279,2.72436,True,947.32467
199.58433,-0.4534,-99.36427,-0.89388,229.38572,-121.61177,Q4,0.40736,0.6064,12.72104,3.15304,True,948.23954
199.3082,0.43072,-106.04297,-0.89424,229.09919,-122.00724,Q4,-1.04084,-0.12746,6.46134,-0.07277,True,943.5195
200.75792,0.28429,-97.1766,-0.87946,230.52569,-119.56664,Q3,0.15457,0.27168,18.267075000000002,0.33203,True,955.20132
200.34207,0.5652,-99.92768,-0.89985,230.16722,-121.58792,Q3,-1.28014,-0.62922,10.658,3.00219,True,951.7465
199.24976,-0.71291,-104.86717,-0.89257,229.04915,-121.84034,Q4,0.42841,-2.18958,8.61504,-5.44523,True,943.8152
199.96918,-0.98121,-97.88159,-0.88815,229.76626,-120.68362,Q4,-1.11705,-0.47708,11.37667,8.595101249999999,True,950.90511
197.27115749999996,-0.4084,-94.58619,-0.88875,227.07746625,-116.43212,Q4,-0.56562,-2.08218,9.68212,-6.16789,True,937.6194
202.42484,0.70401,-100.69594,-0.88192,232.19444,-123.39969,Q1,-0.48869,0.94741,10.97914,-0.7117,True,961.77624
201.81716,0.84507,-103.78438,-0.90303,231.65083,-121.57252,Q2,-0.02084,1.11468,10.0769,-1.37831,True,957.1936
201.60639,-0.08179,-100.3345,-0.89368,231.43523,-124.05838,Q2,-0.31141,1.25296,12.24468,-5.46831,True,957.86472
198.67444,-1.18917,-102.74059,-0.89206,228.46346,-117.9467,Q4,0.71929,0.16887,7.11125,-0.83155,True,942.00191
199.31026,-0.83629,-103.34947,-0.87872,229.09106,-118.70605,Q4,2.3923,-2.9744712499999997,9.86612,-2.72834,True,944.87655
198.93424,-1.04021,-97.08033,-0.89462,228.74657,-120.24715,Q4,0.94811,-0.82591,10.39178,0.24439,True,946.13105
200.71947,-1.68846,-100.89567,-0.89019,230.50456,-121.48023,Q3,-2.86477875,-2.18997,8.033,-2.75066,True,953.1495
199.1514,-0.02897,-100.15293,-0.90083,228.96054,-120.5404,Q4,0.89455,-0.33277,10.51886,5.21095,True,945.68056
199.70489,-1.04213,-102.39255,-0.89332,229.49195,-122.22415,Q4,0.90299,0.28534,13.23726,0.43631,True,947.32817
199.75651,1.33129,-96.68192,-0.88435,229.5436,-119.06335,Q4,1.57073,-1.67739,13.03784,-0.09311,True,950.44157
199.896,0.18702,-92.71209,-0.89251,229.71547,-121.35867,Q4,0.75791,-1.08585,10.29523,0.44995,True,953.12394
200.30102,-0.25656,-103.51348,-0.87908,230.06344,-123.29408,Q3,0.81112,1.23019,7.14486,2.63329,True,949.74835
199.62811,-0.26284,-98.03254,-0.88235,229.41942,-121.68489,Q4,-2.25308,-1.4934,10.51261,-1.42262,True,949.12426
200.41028,0.32646,-103.55105,-0.88966,230.21819,-122.35937,Q3,-0.74028,-1.80185,11.7539,-4.68096,True,950.27585
199.43898,-0.67734,-96.75556,-0.88803,229.19806,-122.25043,Q4,0.82477,-0.63978,11.44937,-0.59207,True,948.8171
199.75813,-0.34979,-100.29706,-0.89928,229.59053,-118.91259,Q4,0.14424,1.07886,11.2275,0.1295,True,948.64211
201.38875,0.82143,-99.61257,-0.88106,231.16384,-124.62039,Q2,-0.01542,0.07562,10.08449,4.51107,True,957.13749
199.79579,-0.19167,-102.26713,-0.88136,229.59358,-120.75856,Q4,-0.10344,1.17048,15.44157,0.18955,True,947.84539
200.78959,-1.67223,-97.33214,-0.88068,230.57702,-123.3006,Q3,0.64383,-0.5751,16.93185,-2.11193,True,955.28187
199.0336,-0.00772,-99.68783,-0.90611,228.8585,-120.33906,Q4,-0.37508,0.98217,12.55931,3.54577,True,945.3241
200.38154,0.77563,-102.04337,-0.87822,230.16781,-121.07861,Q3,-1.54799,-0.46813,9.60187,-6.8211,True,950.88603
200.55256,0.63282,-103.15626,-0.89695,230.35298,-121.73769,Q3,-1.45301,-0.78308,8.8381,-2.06401,True,951.18468
200.49815,1.78002,-100.51476,-0.89021,230.31996,-123.3151,Q3,0.80902,0.0361,8.88239,-0.23735,True,952.23339
199.75265,0.14701,-101.32487,-0.89432,229.55733,-118.89086,Q4,-1.39009,-1.6724,10.56346,1.5809,True,948.10083
198.63538,-0.66227,-100.47168,-0.89228,228.44927,-119.58634,Q4,-0.56875,2.17081,14.13927,3.42147,True,942.94108
198.54194,0.07702,-98.39504,-0.88439,228.32479,-118.82335,Q4,-0.34633,0.18233,7.93974,1.89539,True,943.51218
198.82874,0.16086,-99.91699,-0.88631,228.62459,-119.44616,Q4,0.11302,-2.79335,15.36787,0.44267,True,944.18522
199.24943,0.07165,-102.89447,-0.89276,229.07206,-120.65695,Q4,2.11366,-2.47029,7.26446,-3.16838,True,944.79993
198.06067,-0.04418,-98.58048,-0.8863,227.86761,-120.05308,Q4,-2.27143,2.80996,9.02886,-0.64342,True,941.01311
200.6142,1.04101,-98.88729,-0.88299,230.41319,-122.59522,Q3,0.25943,0.18845,7.19251,4.3804,True,953.62735
200.58772,1.873945,-97.66631,-0.87981,230.37037,-120.55614,Q3,-1.0083,1.22731,11.88954,-7.51739,True,954.10543
200.81242,1.19243,-93.10193,-0.89615,230.61393,-122.34188,Q3,1.07777,-0.75997,9.48243,0.33831,True,957.51112
199.16566,-0.25948,-99.67448,-0.88452,228.95722,-119.85761,Q4,-1.06104,-2.25377,11.36995,-1.11007,True,945.99105
200.13525,-0.38279,-96.78933,-0.89186,229.95542,-122.41582,Q3,-0.5388,-1.76173,11.68454,-6.17658,True,952.28156
199.87843,-0.59646,-92.84126,-0.89006,229.66714,-120.51196,Q4,0.44059,0.32215,8.03501,-4.01275,True,952.97154
200.34268,1.873945,-103.24171,-0.89607,230.16785,-123.38732,Q3,-0.50416,-0.41471,15.81159,3.77979,True,950.09256
198.62289,0.35142,-98.20943,-0.89072,228.40831,-121.45134,Q4,-0.24942,1.42391,11.50724,-4.79135,True,944.00973
200.93383,-0.18465,-100.39152,-0.89795,230.74068,-120.97018,Q3,0.10069,-2.29233,8.20182,-6.66445,True,954.47341
199.49309,0.39196,-98.38721,-0.89681,229.29355,-119.39051,Q4,2.14145,-1.10326,11.44524,-1.57429,True,948.27187
200.08801,0.50022,-99.79592,-0.88874,229.87818,-122.49294,Q3,-0.65401,-0.30641,12.86977,-2.35126,True,950.5421
200.87584,0.76702,-99.01947,-0.88567,230.67068,-121.23983,Q3,2.55558,2.46604,11.58651,4.69301,True,954.86949
201.35088,0.43833,-98.30084,-0.88806,231.14746,-121.61302,Q2,-0.45535,-0.41048,10.69015,3.54034,True,957.60397
202.02921,0.21721,-100.91507,-0.89527,231.84473,-121.34724,Q1,-1.15539,1.6254,15.97594,1.80687,True,959.68854
199.37083,-0.07004,-97.87134,-0.88788,229.15885,-118.53558,Q4,-0.12896,-0.39517,10.09082,-1.79806,True,947.91846
199.80142,0.42003,-99.46895,-0.89755,229.6042,-120.11018,Q4,-0.59034,0.81728,10.50303,-2.60354,True,949.27262
200.75907,0.30426,-97.11298,-0.88859,230.57268,-122.63233,Q3,0.17364,1.09091,12.93702,0.99965,True,955.23885
199.79972,-0.21762,-94.98329,-0.88289,229.59305,-120.83883,Q4,2.03271,-1.12072,12.26531,-3.29434,True,951.50696
198.55451,-0.03912,-103.52622,-0.89568,228.38262,-118.64664,Q4,0.50506,-1.1108,5.46066,-3.1562,True,941.00945
200.22774,0.30055,-98.8746,-0.89215,230.03313,-121.68363,Q3,-0.96101,-0.51434,9.28942,0.22274,True,951.70142
201.55556,0.74291,-100.34951,-0.88087,231.32762,-122.53818,Q2,-0.82794,-0.43211,5.69643,-0.07469,True,957.60304
198.72278,-0.9001,-95.53528,-0.87722,228.51959,-119.25144,Q4,0.78135,2.21137,10.78458,-2.26399,True,945.84624
199.99206,0.41953,-101.64239,-0.8956,229.82406,-120.68765,Q4,-0.78148,-0.27091,11.88939,-2.54147,True,949.13912
199.99973,1.31246,-105.7161,-0.88911,229.77763,-118.1932,Q3,0.12122,-0.8815,11.98745,0.4985,True,947.14061
201.23519,0.05095,-105.56804,-0.90393,231.04708,-124.43716,Q2,1.14287,-0.61373,13.34699,2.65578,True,953.39192
202.03965,1.40978,-101.43433,-0.88507,231.83071,-122.28711,Q1,1.1724,0.48907,7.96736,4.06262,True,959.48107
199.82209,-0.16715,-102.1069,-0.87759,229.61495,-121.14572,Q4,0.33812,1.6689,5.67353,-0.73828,True,948.05702
201.0203,1.14959,-96.92451,-0.89018,230.83531,-121.54425,Q2,-2.14539,2.8992,7.07124,1.80656,True,956.63925
201.42942,0.4769,-98.56881,-0.88357,231.21425,-120.63252,Q2,0.4864,0.2589,10.48831,-6.5577,True,957.8627
200.47823,-0.32529,-99.31328,-0.88931,230.29671,-119.58625,Q3,0.03377,-1.02817,15.53084,-6.33061,True,952.73451
198.98889,0.8688,-97.98705,-0.89165,228.78771,-120.28945,Q4,0.16436,0.17337,11.50599,-6.78055,True,945.95091
199.80558,0.15451,-99.38912,-0.89005,229.59532,-119.4523,Q4,0.31208,0.48982,7.62457,-6.10147,True,949.33333
198.88424,-0.12339,-102.62099,-0.8799,228.66941,-119.09624,Q4,1.0807,0.01268,12.75556,-2.17584,True,943.1107
199.3036,-0.28111,-98.14245,-0.88162,229.09991,-119.51768,Q4,1.47095,1.44648,12.50421,0.80035,True,947.4468
199.41338,0.77833,-96.74687,-0.88589,229.19187,-120.97058,Q4,0.50692,-0.1276,12.99357,-2.13382,True,948.69345
199.61182,-0.3049,-100.88067,-0.88993,229.42967,-119.88907,Q4,1.26704,-0.77688,11.77603,-6.22142,True,947.61875
200.34861,1.29182,-95.10422,-0.90015,230.17932,-121.68043,Q3,-0.81031,0.38964,9.16348,4.71888,True,954.19092
201.46512,1.11342,-103.636,-0.89008,231.27989,-121.97168,Q2,0.42856,-0.01658,10.70927,0.08922,True,955.50759
200.80294,0.16372,-101.50026,-0.89054,230.60613,-120.22226,Q3,-0.57919,-0.81986,8.29855,0.67388,True,953.26455
198.97052,-0.52027,-101.13233,-0.88516,228.77466,-121.11946,Q4,-0.36061,0.26605,14.87982,-2.04001,True,944.28644
199.47083,1.47121,-102.55697,-0.88317,229.2591,-119.19516,Q4,-0.46184,1.78495,10.01188,0.21781,True,946.07568
200.78494,-0.55061,-103.21639,-0.88537,230.58457,-120.33779,Q3,0.81981,-0.282,7.83726,-1.87207,True,952.31653
200.22442,0.47858,-99.57813,-0.89208,230.01102,-118.69731,Q3,-0.00062,-1.40885,15.57613,-0.28681,True,951.33304
200.33791,-0.94716,-103.65661,-0.88972,230.1178,-120.73007,Q3,-0.71331,-0.2826,10.00588,6.8418,True,949.86126
199.38945,-0.2859,-102.29691,-0.88555,229.15551,-118.02355,Q4,0.33929,0.06455,12.8436,3.51875,True,945.79879
199.424,-1.08025,-99.60088,-0.87809,229.22159,-119.06358,Q4,-0.60489,-1.20676,9.96524,-0.85377,True,947.31954
198.78859,-0.45024,-96.37547,-0.89707,228.58545,-118.90533,Q4,0.86488,-0.39637,7.09064,0.2285,True,945.75524
200.56709,0.38944,-102.76885,-0.88613,230.36621,-123.12461,Q3,-0.8229,0.50286,10.06138,-4.76245,True,951.45104
198.63119,-0.24355,-100.81544,-0.88571,228.42817,-121.9206,Q4,0.78416,0.72962,10.01369,-2.65902,True,942.74822
199.62275,-1.06816,-101.88481,-0.90665,229.45583,-120.62268,Q4,0.03441,-0.82543,4.90726,0.00473,True,947.17133
201.02534,0.36007,-97.5031,-0.89312,230.81525,-125.5558925,Q2,0.97432,0.15091,11.65494,1.24406,True,956.37512
201.57925,1.2065,-99.64171,-0.89332,231.38156,-123.2913,Q2,1.06528,2.18524,13.0982,0.84287,True,958.0754
200.37115,0.4579,-99.79568,-0.88626,230.17458,-118.56004,Q3,-0.16603,-0.68863,13.26038,-3.51099,True,951.95792
200.32311,-0.92989,-96.74713,-0.8913,230.12321,-119.32633,Q3,-0.6585,-2.16329,14.68116,-1.14406,True,953.24197
199.97662,1.46892,-97.40635,-0.89522,229.80893,-120.93917,Q4,1.2725,-0.00544,15.65387,-1.86496,True,951.17993
198.87697,-0.39633,-95.16854,-0.88782,228.67862,-119.83128,Q4,-0.11142,0.48123,5.76207,-5.63082,True,946.8006
200.15099,-0.00173,-100.8627,-0.88408,229.94214,-121.82333,Q3,-2.0663,2.35745,9.25124,-1.19054,True,950.32359
198.81546,-0.20294,-98.763,-0.88445,228.57651,-119.81525,Q4,-0.24349,0.04124,8.17225,-0.17075,True,944.69579
199.73934,-0.98084,-95.82121,-0.88888,229.52784,-118.20077,Q4,-0.13248,1.25598,12.2304,-1.72642,True,950.78609
199.09519,0.16607,-100.22075,-0.89524,228.92435,-121.24734,Q4,-1.88529,-0.43287,13.3553,-0.11164,True,945.36559
201.34055,-0.35446,-95.29623,-0.88907,231.15766,-122.06129,Q2,0.70014,-2.61276,6.29273,-1.71871,True,959.05463
199.39134,-0.18279,-97.77979,-0.89432,229.22119,-120.77283,Q4,1.57851,1.10751,11.47792,-4.12579,True,948.0668
200.10012,-0.37291,-101.25943,-0.88274,229.90403,-121.70364,Q3,0.52398,-0.09826,11.49068,-0.14521,True,949.87089
200.42117,0.44006,-101.98851,-0.88379,230.21662,-122.23688,Q3,0.17159,-2.9744712499999997,13.17907,1.70523,True,951.11159
199.7182,-0.1569,-95.96767,-0.87754,229.51121,-122.14146,Q4,-0.35362,1.99639,13.44381,-2.06856,True,950.60718
200.12855,0.86388,-101.61291,-0.88617,229.92139,-121.19912,Q3,0.76243,0.51978,13.32233,1.63844,True,949.83628
