y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Antrophic,199.84675,-0.22935,-94.57266,-0.90297,229.65733,-119.73784,Q4,0.12045,0.5067,13.3196,2.86055,True,951.94743
OpenAI,199.76663,0.57961,-98.69548,-0.89087,229.58771,-117.92856,Q4,-0.28505,0.16832,14.52734,-0.51453,True,949.4854
Antrophic,200.40804,-0.03834,-97.64719,-0.89971,230.20797,-121.71234,Q3,-0.13753,0.7153,9.90651,0.35612,True,953.2166
Antrophic,201.38523,0.51942,-105.1682,-0.89226,231.15781,-120.69422,Q2,0.03872,-0.3755,11.10684,1.32156,True,954.34203
OpenAI,199.6013,-0.76663,-94.4267,-0.88284,229.39822,-122.24543,Q4,0.46721,2.1422,9.72683,-4.961,True,950.79316
OpenAI,200.17643,-0.16174,-101.49331,-0.87934,229.95851,-121.12107,Q3,1.58624,0.24772,18.63075,-1.14392,True,950.1355
Antrophic,201.66892,0.70144,-96.48378,-0.89885,231.4661,-121.74501,Q2,1.66844,0.32603,8.0205,4.45091,True,960.10269
OpenAI,200.44108,-0.20788,-98.39821,-0.88929,230.2481,-123.38075,Q3,-2.62285,1.04582,9.91782,-1.67245,True,953.00627
OpenAI,199.24723,-0.02325,-101.60303,-0.88375,229.04195,-123.66948,Q4,0.98674,1.33937,8.47041,-1.04368,True,945.43466
Antrophic,200.38491,-0.69794,-100.84816,-0.89702,230.21329,-121.319,Q3,-1.33569,0.40085,11.30085,2.19003,True,951.50048
Antrophic,200.48323,0.05784,-101.70481,-0.89584,230.27201,-120.44166,Q3,-0.21559,-0.00246,7.5567,-4.85019,True,951.56373
Mistral,199.55959,-0.34113,-101.1304,-0.88078,229.34428,-120.84956,Q4,-1.81472,-1.21748,7.89803,5.58758,True,947.23277
OpenAI,199.67466,0.98984,-98.43058,-0.89388,229.50304,-119.50852,Q4,2.24048,-2.35515,8.90594,-5.77431,True,949.15803
Antrophic,200.3964,-1.1692,-106.44752,-0.89816,230.1987,-122.94734,Q3,-0.71857,0.73902,10.44551,-3.39992,True,948.75825
Antrophic,200.61989,1.31159,-95.22354,-0.88995,230.42019,-119.66419,Q3,-0.10574,-0.63537,8.28966,2.71089,True,955.48769
OpenAI,200.81557,0.5782,-101.77557,-0.89322,230.63534,-121.11404,Q3,-0.45347,1.6004,12.00807,-1.39047,True,953.19004
Mistral,200.13445,0.35629,-94.625,-0.89297,229.91759,-119.0734,Q3,1.83441,0.71756,7.36113,-3.44646,True,953.35974
Antrophic,199.17878,-0.37646,-103.3476,-0.8849,228.95241,-121.03796,Q4,-0.66634,-0.11529,10.61043,9.57376,True,944.2201
OpenAI,199.98337,-0.6896,-99.52737,-0.88335,229.78376,-120.64339,Q4,1.52559,-0.07393,8.82222,-3.18171,True,950.15317
OpenAI,198.28845,0.97786,-99.42723,-0.88198,228.07235,-119.70683,nan,0.7163,-2.42495,17.81146,-0.50324,True,941.72864
Mistral,199.55558,-0.28689,-95.7974,-0.88178,229.34547,-119.90751,Q4,-0.76781,0.16125,9.87328,-0.1871,True,949.8792
OpenAI,199.96316,0.1089,-105.29368,-0.88586,229.76264,-120.16133,Q4,-0.2812,-0.46642,6.59994,-5.51288,True,947.16897
OpenAI,200.85264,0.47613,-101.92536,-0.88728,230.65654,-121.58322,Q3,0.3172,-1.25592,11.01313,-1.00385,True,953.30054
Mistral,200.38672,0.42528,-100.57676,-0.89043,230.18558,-121.62176,Q3,-2.37161,-1.06202,10.28629,0.05796,True,951.64524
OpenAI,200.31806,-0.20489,-95.34576,-0.88738,230.12192,-118.9704,Q3,1.81173,-0.23841,14.27962,-1.39191,True,953.91741
Antrophic,199.38944,0.15065,-98.209,-0.88632,229.16808,-116.03481,Q4,0.11238,0.00902,9.17321,5.19355,True,947.84271
Mistral,199.84003,0.46601,-103.13953,-0.87818,229.6241,-122.68824,Q4,-1.02307,0.20159,5.35461,1.52173,True,947.6304
Antrophic,201.50764,0.1679,-102.51516,-0.87878,231.27135,-119.63358,Q2,0.20321,-0.18169,9.78924,-2.91414,True,956.28063
Mistral,200.19894,0.73418,-104.45255,-0.87695,229.98334,-119.0335,Q3,-0.09609,-1.14539,11.11972,0.70139,True,948.76842
Mistral,201.4482,-0.76071,-94.08604,-0.89514,231.24941,-120.88226,Q2,-1.04655,-0.01213,16.78988,2.61937,True,960.19798
OpenAI,200.31209,0.10058,-106.52014,-0.88737,230.1263,-120.00069,Q3,1.04142,-2.03714,9.33436,-3.57003,True,948.3004
OpenAI,200.08138,-0.01556,-105.98749,-0.87992,229.86073,-120.8119,Q3,2.64339,-0.61806,7.60089,1.15597,True,947.41316
OpenAI,199.65166,0.2187,-101.35684,-0.88724,229.45443,-119.45591,Q4,0.60855,0.1903,12.54618,-4.24588,True,947.57989
Mistral,202.1358,-0.49885,-104.23441,-0.89318,231.92799,-120.97064,Q1,-0.49702,-0.77854,9.71961,0.56646,True,958.5618
Antrophic,197.94216,0.67725,-97.97579,-0.90528,227.76046,-118.6511,nan,0.31235,0.05669,7.71891,2.73399,True,940.72292
Antrophic,199.37096,1.05816,-100.96621,-0.90093,229.19402,-121.04993,Q4,0.68039,-0.31114,6.6631,-3.7689,True,946.37172
Mistral,199.2501,-0.62092,-99.12734,-0.88048,229.05309,-119.51178,Q4,3.26141,1.79665,8.23841,-3.96947,True,946.68683
OpenAI,198.84553,-0.56503,-95.98586,-0.8924,228.66989,-119.4748,nan,-1.54989,0.59779,11.79657,-3.71882,True,946.23474
Antrophic,199.31855,0.00757,-94.36385,-0.88734,229.09951,-118.96148,Q4,1.6796,-1.2017,11.37845,2.4732,True,949.41083
Antrophic,200.43493,-0.17128,-100.98472,-0.88622,230.21284,-122.53641,Q3,-0.07204,-0.42002,14.2024,9.19798,True,951.68227
Mistral,199.20086,-0.43875,-98.4686,-0.87716,228.99514,-120.84855,Q4,1.64404,0.60146,12.90385,-3.36201,True,946.77001
Antrophic,198.79715,-0.35033,-97.87189,-0.88313,228.57116,-119.85346,nan,-0.09295,-0.12662,10.25173,3.70479,True,945.04981
Antrophic,199.56043,-0.93324,-102.55366,-0.90515,229.38534,-122.83735,Q4,1.04741,-1.08499,12.0929,6.64571,True,946.52533
OpenAI,198.07189,-0.23808,-101.05173,-0.88547,227.87891,-120.96841,nan,-0.55618,0.804,7.80453,3.03496,True,939.83357
OpenAI,199.04019,-1.11499,-96.59619,-0.87933,228.82091,-117.41508,Q4,-0.26463,-0.03204,11.86736,-0.3732,True,946.90287
Mistral,201.47748,0.33856,-102.84939,-0.89206,231.26217,-122.2362,Q2,-1.22916,-0.85546,11.97359,-4.64732,True,955.96271
OpenAI,200.03639,-0.74104,-100.72132,-0.88165,229.82432,-120.67295,Q3,-0.30372,-0.45907,12.76255,-0.8798,True,949.82129
Antrophic,198.93362,0.90829,-94.36305,-0.89001,228.7247,-121.82654,nan,-1.68617,1.04945,10.7315,-0.52491,True,947.48659
OpenAI,202.36459,-0.47116,-99.75356,-0.89212,232.19206,-121.62304,Q1,0.74699,0.5493,9.94771,-3.25472,True,961.94618
OpenAI,200.50636,-0.28543,-100.46674,-0.88526,230.311,-119.086,Q3,0.40673,0.66791,6.94732,-0.53801,True,952.29844
OpenAI,200.93988,-0.08532,-101.98958,-0.89743,230.77265,-120.85664,Q3,0.9424,-3.15831,12.84186,-2.28967,True,953.70461
Antrophic,202.15376,0.96688,-98.41305,-0.90574,231.98447,-124.66943,Q1,-0.77671,-0.42149,8.72284,3.48001,True,961.56228
OpenAI,199.29928,1.34395,-103.27216,-0.8954,229.12606,-117.27828,Q4,-1.58692,0.20245,9.42007,-6.44672,True,944.86033
Mistral,200.26167,0.69703,-107.30636,-0.88208,230.05252,-119.17555,Q3,-0.4937,-1.85811,8.88974,-2.06189,True,947.65517
OpenAI,199.53283,-0.99435,-97.70874,-0.88285,229.31565,-120.68926,Q4,2.42737,-1.11624,9.46406,3.78142,True,948.80979
OpenAI,199.42151,0.77401,-99.51445,-0.88901,229.23918,-119.30798,Q4,-2.83817,2.60882,4.91229,-3.91996,True,947.35032
Antrophic,200.76611,0.6717,-102.24841,-0.89863,230.56768,-120.51945,Q3,-0.33767,-0.6126,8.74639,4.2641,True,952.70634
OpenAI,200.25093,-0.21169,-99.44106,-0.88078,230.03796,-123.93303,Q3,2.76869,-1.7776,8.96489,-2.16727,True,951.53413
OpenAI,198.2213,0.80702,-100.83092,-0.88788,228.02228,-118.23917,nan,-2.0821,-1.31431,11.01907,-1.6228,True,940.69103
OpenAI,199.52565,-0.62284,-103.72653,-0.89125,229.33588,-120.94461,Q4,-0.15588,1.172,10.34452,-0.78233,True,945.76499
Mistral,199.29125,-0.69606,-98.73519,-0.88393,229.08735,-118.29466,Q4,0.41649,0.89676,15.9111,2.41298,True,947.08866
OpenAI,200.466,0.70924,-101.09471,-0.8882,230.27455,-121.56873,Q3,-1.06475,2.27561,9.2252,-7.90327,True,951.78263
OpenAI,199.2108,-0.71573,-103.26869,-0.8788,228.99071,-120.23896,Q4,-0.70869,1.25412,11.81251,-4.10322,True,944.41966
OpenAI,200.53782,-1.06887,-101.8174,-0.87856,230.31746,-119.71537,Q3,-0.83078,-1.60147,7.84715,-0.56272,True,951.78038
Antrophic,200.30345,-0.27208,-100.53592,-0.90513,230.13363,-122.08467,Q3,-0.23562,-0.81503,7.48733,3.01032,True,951.2493
Antrophic,198.88514,-1.43999,-95.66642,-0.89686,228.6796,-120.17372,nan,-0.18357,-0.52138,8.73941,-2.42404,True,946.59249
Antrophic,200.77138,0.90044,-96.76316,-0.88103,230.54275,-122.67796,Q3,-0.51479,-0.07728,11.96048,9.29428,True,955.4753
OpenAI,199.35609,0.24708,-98.7905,-0.89062,229.16533,-119.00662,Q4,0.21588,-0.16605,9.5894,0.81368,True,947.3852
OpenAI,197.14087,-0.52866,-96.4339,-0.88797,226.94184,-116.79408,nan,0.09457,0.09832,13.60321,-4.09348,True,937.48741
Antrophic,200.46808,0.91397,-101.03201,-0.90963,230.30076,-122.10218,Q3,-0.80614,1.24014,11.0182,3.42966,True,951.82442
Mistral,200.03614,-0.45723,-101.38098,-0.88102,229.82111,-120.43669,Q3,-0.34654,-0.40226,7.73784,4.15267,True,949.49022
OpenAI,200.06123,-0.08521,-100.38376,-0.89256,229.89268,-123.61533,Q3,2.76484,-1.69962,10.64789,-2.71647,True,950.11428
OpenAI,200.36714,-1.4395,-95.6526,-0.8894,230.18233,-119.51661,Q3,-1.80282,-0.42128,7.51638,-1.7497,True,954.00938
Antrophic,201.85904,1.31183,-99.34222,-0.89323,231.6563,-121.50442,Q2,0.34246,-0.94536,12.02632,0.54372,True,959.6241
Antrophic,200.92853,0.20391,-105.24695,-0.90283,230.73312,-120.56524,Q3,-0.94435,-0.7936,10.30685,-0.47734,True,952.01919
OpenAI,200.31953,0.29726,-102.4955,-0.88591,230.12761,-121.47157,Q3,-2.628,1.18578,12.83859,-2.58536,True,950.34991
Mistral,200.59245,0.79607,-99.07285,-0.88572,230.38512,-124.24016,Q3,0.16332,-0.34274,7.98917,1.79601,True,953.42581
Antrophic,199.8091,0.82945,-97.09118,-0.9,229.63901,-120.76737,Q4,0.28969,-0.20077,13.49402,-4.02952,True,950.49993
OpenAI,199.86657,0.39941,-97.19649,-0.89482,229.68934,-121.34983,Q4,-2.98213,-1.22009,13.22573,-1.94762,True,950.73462
Mistral,200.32111,0.68831,-100.88376,-0.87597,230.11254,-118.25003,Q3,-1.13259,1.65543,9.4211,2.57824,True,951.16365
Antrophic,200.58831,0.915,-102.21741,-0.89642,230.38679,-120.69999,Q3,-0.67601,-0.70107,13.23358,2.44074,True,951.83283
OpenAI,199.74651,-0.72063,-99.1444,-0.89003,229.56883,-120.98806,Q4,-0.2568,-0.61755,5.62889,-4.51729,True,949.16035
Mistral,199.16587,-0.52275,-92.88443,-0.88522,228.95839,-117.91323,Q4,0.72434,-1.88721,10.21944,-1.7781,True,949.38714
Mistral,198.48988,-0.99829,-98.81493,-0.89328,228.27711,-119.95377,nan,1.21085,0.57642,12.20447,0.97282,True,943.04195
Antrophic,199.51886,0.15193,-101.77787,-0.88694,229.29403,-122.14882,Q4,-0.68346,0.36031,17.54133,9.85614,True,946.70539
Mistral,200.59865,0.84903,-107.27975,-0.89029,230.39978,-121.08243,Q3,-0.49344,0.19029,14.10376,-0.20881,True,949.35335
Mistral,198.7204,-1.39941,-105.11725,-0.89703,228.52521,-117.38418,nan,1.5224,1.19474,11.99305,0.71994,True,941.04338
Antrophic,201.12813,0.38632,-98.73784,-0.89904,230.92669,-122.3473,Q2,-1.18441,0.23318,6.71627,-2.8048,True,956.27171
Mistral,200.27416,-0.12824,-102.32061,-0.89163,230.07691,-120.59291,Q3,-0.1522,-3.63247,10.92352,1.75078,True,950.21047
Antrophic,199.16905,0.03729,-100.38984,-0.90351,228.99113,-122.6562,Q4,-0.28143,-0.44522,16.08953,4.91121,True,945.65031
Antrophic,200.40015,0.01139,-103.73736,-0.88975,230.18991,-118.10396,Q3,-0.21303,-0.54765,7.29325,-2.28255,True,950.13207
OpenAI,200.13649,-0.15145,-99.7629,-0.88813,229.94775,-119.08853,Q3,0.84026,0.04997,11.45266,-0.41612,True,950.801
OpenAI,201.1499,0.52792,-103.29632,-0.88204,230.94128,-122.20639,Q2,2.67025,0.05422,9.48606,0.42593,True,954.10134
Antrophic,199.63182,0.00127,-96.06125,-0.8971,229.46068,-118.55501,Q4,1.49442,0.38254,10.27565,5.67384,True,950.12849
Antrophic,200.92593,0.23187,-100.55859,-0.89264,230.73366,-120.53714,Q3,-0.64035,0.4311,13.16591,-0.87923,True,954.35035
Mistral,199.45746,0.05764,-98.48681,-0.89406,229.25771,-119.48071,Q4,-2.18852,-1.47423,10.59899,-1.74014,True,948.0439
Antrophic,198.82119,0.74619,-101.29115,-0.89341,228.6079,-117.89016,nan,0.43418,-0.8122,8.00438,5.64748,True,943.4604
OpenAI,201.6132,-0.34796,-102.46154,-0.89196,231.43652,-123.25181,Q2,0.22397,-2.33849,13.63329,-3.28817,True,956.83523
Antrophic,200.76452,0.09932,-104.23563,-0.8859,230.53303,-121.70835,Q3,0.94206,-1.40067,9.75514,0.35166,True,951.70479
Mistral,199.73455,0.8128,-94.14208,-0.88839,229.52623,-119.29181,Q4,-2.16291,-0.95945,15.42684,0.08129,True,951.60168
Mistral,200.12412,0.08141,-97.87877,-0.88609,229.91182,-120.65368,Q3,1.09334,0.72647,13.6058,0.44039,True,951.68119
Antrophic,199.35806,-0.68161,-101.89504,-0.90303,229.19096,-120.347,Q4,-0.85789,0.13686,10.47,10.05789,True,945.84277
OpenAI,199.88992,1.49965,-99.02321,-0.87887,229.6752,-120.73786,Q4,-0.88772,1.27215,12.41979,-0.91632,True,949.93799
Mistral,199.37462,-0.38483,-100.05737,-0.87805,229.17403,-119.33305,Q4,0.28649,0.10647,15.39711,-1.73408,True,946.84443
Mistral,198.94205,0.35372,-100.04294,-0.88884,228.74574,-119.13903,nan,0.66288,0.40861,14.41155,0.91376,True,944.6888
Antrophic,200.83014,1.18221,-99.73968,-0.89742,230.62519,-122.96354,Q3,0.80136,-0.09602,13.66789,1.83668,True,954.28086
OpenAI,200.11573,-0.13932,-99.98042,-0.88586,229.92436,-122.51829,Q3,-0.04769,-0.61755,9.58983,0.0161,True,950.58844
OpenAI,199.23141,-0.11149,-101.6183,-0.8806,229.01969,-120.4482,Q4,0.91868,-1.23976,11.19853,-1.6772,True,945.34789
OpenAI,199.82237,1.21022,-102.94059,-0.88155,229.61319,-121.3493,Q4,-1.19822,-1.74047,8.08712,1.55952,True,947.64155
OpenAI,200.97807,-0.18709,-96.49984,-0.88995,230.7907,-119.98676,Q3,3.02972,-0.16346,13.69302,-6.45511,True,956.64043
OpenAI,201.97433,0.38047,-100.57195,-0.89332,231.79998,-124.64164,Q2,0.86833,-0.89712,11.76417,-8.12996,True,959.58568
Antrophic,199.41755,-1.38367,-97.96907,-0.89102,229.2221,-119.05398,Q4,-0.76493,-0.19148,11.33929,3.32048,True,948.1032
OpenAI,199.23803,0.36907,-100.92267,-0.88191,229.03268,-121.61973,Q4,2.01006,-2.14101,9.01389,1.00455,True,945.72884
OpenAI,200.02005,-0.07517,-100.55889,-0.89155,229.84722,-117.19992,Q3,-1.61673,-1.04948,10.13897,0.07769,True,949.82078
Antrophic,198.51584,-0.51285,-102.94703,-0.88337,228.29346,-118.7352,nan,1.13306,-0.51123,13.93423,-4.09977,True,941.10569
OpenAI,201.57194,1.20447,-101.70618,-0.88807,231.37298,-121.87832,Q2,-0.60474,2.25616,8.45115,1.45746,True,957.00662
Antrophic,200.72365,-0.3611,-105.04669,-0.90067,230.52829,-121.38068,Q3,0.21496,-0.8353,12.72717,0.62453,True,951.0949
Antrophic,198.71375,-0.54704,-104.57909,-0.89056,228.50433,-120.32728,nan,1.0074,0.20249,11.75146,9.31097,True,941.27921
Mistral,199.5242,0.09112,-96.503,-0.8882,229.3093,-117.60419,Q4,1.14013,-0.0565,5.17364,-2.30511,True,949.36948
OpenAI,199.60621,-0.0823,-99.82322,-0.88581,229.4015,-120.49761,Q4,2.23728,-1.42293,15.06666,-0.94601,True,948.11946
Antrophic,199.90841,-1.23313,-97.72131,-0.8945,229.71338,-121.8022,Q4,0.38135,0.00463,15.89821,1.93926,True,950.68138
Antrophic,201.50939,-0.08229,-106.89868,-0.90062,231.31538,-121.74847,Q2,0.45565,-0.31287,9.37761,0.50058,True,954.09762
OpenAI,200.25077,0.05139,-103.99091,-0.89495,230.07869,-120.31306,Q3,-0.43437,-1.38792,15.33349,-5.30644,True,949.25839
Antrophic,201.89451,0.65981,-96.16269,-0.88082,231.66806,-121.99444,Q2,-0.02909,0.63065,10.78951,-4.99534,True,961.39121
OpenAI,198.83922,-0.73617,-99.14347,-0.88484,228.63147,-118.67143,nan,-1.078,1.36995,9.58996,-2.2084,True,944.62437
Mistral,199.36208,-0.24212,-94.13554,-0.87811,229.14463,-118.93911,Q4,-0.90631,1.06628,9.92081,-1.24932,True,949.74264
Antrophic,198.48785,-1.27546,-94.84261,-0.88281,228.2614,-116.30365,nan,-0.19292,1.13003,7.41701,-0.0511,True,945.01794
Mistral,201.05362,-0.04709,-100.12736,-0.89124,230.83466,-120.69559,Q2,-3.06393,-2.20914,10.1353,0.27582,True,955.20441
Antrophic,198.99643,-0.11439,-93.69777,-0.89111,228.79165,-118.53746,nan,-0.39736,-0.724,13.05809,-1.35456,True,948.13327
OpenAI,202.15539,1.82958,-102.98948,-0.88274,231.9489,-122.55285,Q1,-3.14169,1.36873,7.23913,-3.04048,True,959.28221
Mistral,201.27462,0.75003,-103.04893,-0.88936,231.06821,-122.39695,Q2,-1.88327,-1.5167,13.81409,-2.02174,True,954.84864
OpenAI,199.86792,-0.2382,-98.83964,-0.88723,229.68071,-121.00425,Q4,0.7618,2.33109,10.73175,-2.06253,True,949.91979
Antrophic,199.06226,0.03231,-98.60009,-0.88597,228.83207,-120.87582,Q4,0.6184,-0.01705,3.86686,-2.20047,True,946.01126
Mistral,201.46071,-0.48576,-97.14698,-0.88656,231.24592,-121.40164,Q2,0.66126,1.56871,9.03359,-1.18274,True,958.73004
Mistral,200.89114,0.36419,-95.83506,-0.892,230.69686,-122.83769,Q3,-1.51657,-1.82264,11.58566,1.15333,True,956.53816
OpenAI,198.77956,-0.12009,-96.3332,-0.88989,228.58796,-118.41149,nan,-3.14998,0.06341,13.7488,0.09734,True,945.73122
OpenAI,199.83223,-0.88868,-103.64968,-0.88532,229.63428,-120.8241,Q4,0.17266,-0.42075,12.20311,-4.10632,True,947.33632
Antrophic,198.07701,-0.75352,-96.60367,-0.88744,227.84781,-118.65637,nan,0.78397,0.05027,11.7602,-0.61384,True,942.08324
Mistral,198.71754,-0.59142,-102.53055,-0.89296,228.5083,-118.96332,nan,-2.30837,0.29958,13.73465,-3.38556,True,942.32244
OpenAI,199.58994,-0.38324,-100.04427,-0.87876,229.37028,-121.07436,Q4,-2.46388,2.25933,8.38198,5.03312,True,947.92756
Antrophic,199.18804,0.05814,-100.52735,-0.90963,229.02041,-121.30632,Q4,1.45506,0.05327,8.90422,7.996,True,945.67653
Mistral,200.24076,0.6704,-98.70071,-0.88924,230.03155,-122.08892,Q3,-0.99237,-0.17814,14.49266,-3.16606,True,951.85343
OpenAI,201.46071,0.28636,-95.84383,-0.8833,231.24935,-124.42819,Q2,-1.58159,1.14179,6.97834,2.34903,True,959.38165
OpenAI,199.70012,-0.68931,-95.54355,-0.89043,229.52363,-118.24185,Q4,-1.72514,1.32545,9.29948,0.30309,True,950.72882
Mistral,201.11104,0.91535,-101.00445,-0.87552,230.89252,-121.22125,Q2,0.3008,0.6616,14.01048,-1.02052,True,955.05298
Mistral,200.44625,-0.40113,-103.46268,-0.88568,230.24491,-120.58907,Q3,-0.39191,0.52828,10.81849,-2.42441,True,950.49993
Mistral,199.23183,-0.61571,-102.2472,-0.8885,229.01879,-118.91857,Q4,0.20081,1.65683,7.74089,0.11545,True,945.03555
Mistral,201.20208,0.29315,-98.19736,-0.89175,230.9912,-123.76379,Q2,2.71078,0.72982,11.94817,0.24405,True,956.9117
Mistral,200.60363,0.35836,-100.8104,-0.88681,230.3993,-120.49074,Q3,-1.52728,-0.3576,11.86679,-0.37108,True,952.61293
OpenAI,198.85301,0.09205,-95.35327,-0.8879,228.66779,-119.67326,nan,-1.338,-0.14639,11.06026,-5.75001,True,946.58843
Mistral,199.59006,-1.01643,-104.09705,-0.88312,229.37763,-119.06918,Q4,-1.39857,0.60998,0.5804,-3.64523,True,945.90178
Mistral,201.5969,-0.64557,-102.24027,-0.87959,231.38136,-122.88623,Q2,-0.86753,-1.29693,8.09817,1.03672,True,956.86437
OpenAI,199.81992,-0.6133,-105.99276,-0.89137,229.63853,-120.74197,Q4,-1.42574,2.41016,9.37604,-4.24093,True,946.10324
Mistral,199.57862,0.00861,-105.27447,-0.88187,229.37289,-118.23045,Q4,-0.80461,0.29805,12.31318,1.91786,True,945.25586
OpenAI,200.01854,-0.28028,-95.99515,-0.88806,229.83058,-120.95758,Q3,-0.62964,-0.17485,10.73378,-7.11026,True,952.09512
Mistral,199.86446,-1.58541,-101.21503,-0.89149,229.6632,-122.31844,Q4,-0.24752,-0.13627,10.45176,-1.60116,True,948.7148
Antrophic,199.85502,-0.00799,-97.45569,-0.89959,229.67223,-120.78076,Q4,-0.97318,-0.25445,1.38326,-1.14543,True,950.54724
Antrophic,199.08356,0.09403,-101.58389,-0.88962,228.88419,-118.9434,Q4,1.12473,-0.84177,14.26052,6.66214,True,944.62585
Mistral,200.39459,0.107,-103.96729,-0.88516,230.17569,-122.37107,Q3,0.60734,-0.80724,9.40896,-1.6722,True,949.98931
OpenAI,199.33556,-0.04206,-100.47438,-0.888,229.14508,-118.00111,Q4,0.19864,-0.00725,5.81709,-7.74498,True,946.4406
OpenAI,199.64639,0.64351,-101.4029,-0.88943,229.45317,-120.19051,Q4,1.12326,0.68304,11.84466,-3.37554,True,947.53052
OpenAI,200.42733,0.77517,-100.10604,-0.88553,230.23094,-119.93619,Q3,-0.11797,-0.30888,11.5495,-1.86691,True,952.08361
Mistral,199.89585,-0.20493,-101.02639,-0.88822,229.6836,-121.22058,Q4,0.50583,0.09944,15.26556,0.73823,True,948.96604
OpenAI,199.05472,0.06879,-102.18804,-0.88153,228.84557,-120.21445,Q4,-2.21002,-0.0704,14.82115,-3.94038,True,944.17955
OpenAI,198.68256,-0.6025,-104.1009,-0.89516,228.50922,-120.79016,nan,-1.23713,2.14466,15.76358,-0.23947,True,941.36237
